time,position,velocity
0.000000,1.000000,0.000000
0.099991,1.000000,-0.099991
0.199982,0.989990,-0.199982
0.299973,0.969986,-0.299377
0.399963,0.940048,-0.398148
0.499954,0.900223,-0.496780
0.599945,0.850540,-0.596222
0.699936,0.790909,-0.697769
0.799927,0.721130,-0.802994
0.899918,0.640823,-0.913651
0.999908,0.549454,-1.031570
1.099899,0.446304,-1.158524
1.199890,0.330460,-1.295929
1.299881,0.200867,-1.444412
1.399872,0.056427,-1.603104
1.499863,-0.103882,-1.768539
1.599854,-0.280731,-1.933090
1.699844,-0.474030,-2.083084
1.799835,-0.682327,-2.197174
1.899826,-0.902039,-2.246368
1.999817,-1.126663,-2.198029
2.099808,-1.346451,-2.026184
2.199799,-1.549057,-1.726868
2.299789,-1.721741,-1.330322
2.399780,-1.854767,-0.896866
2.499771,-1.944458,-0.492584
2.599762,-1.993713,-0.161194
2.699753,-2.009842,0.086105
2.799744,-2.001236,0.260895
2.899734,-1.975159,0.382599
2.999725,-1.936905,0.469101
3.099716,-1.889999,0.533707
3.199707,-1.836639,0.585419
3.299698,-1.778107,0.630142
3.399689,-1.715103,0.671722
3.499680,-1.647949,0.712799
3.599670,-1.576691,0.755280
3.699661,-1.501175,0.800705
3.799652,-1.421112,0.850433
3.899643,-1.336090,0.905823
3.999634,-1.245529,0.968292
4.099625,-1.148712,1.039444
4.199615,-1.044785,1.121094
4.299606,-0.932693,1.215286
4.399597,-0.811188,1.324341
4.499588,-0.678772,1.450729
4.599579,-0.533722,1.596817
4.699570,-0.374069,1.764359
4.799561,-0.197662,1.953491
4.899551,-0.002335,2.160950
4.999542,0.213730,2.377258
5.099533,0.451431,2.582733
5.199524,0.709671,2.743210
5.299515,0.983963,2.808395
5.399506,1.264771,2.718933
5.499496,1.536636,2.429443
5.599487,1.779556,1.945114
5.699478,1.974045,1.345734
5.799469,2.108597,0.758530
5.899460,2.184433,0.286301
5.999451,2.213058,-0.040100
6.099442,2.209045,-0.245773
6.199432,2.184464,-0.371323
6.299423,2.147324,-0.449707
6.399414,2.102356,-0.502060
6.499405,2.052155,-0.540604
6.599396,1.998093,-0.572220
6.699387,1.940872,-0.600800
6.799377,1.880783,-0.628647
6.899368,1.817917,-0.657227
6.999359,1.752197,-0.687546
7.099350,1.683441,-0.720444
7.199341,1.611389,-0.756668
7.299332,1.535721,-0.796997
7.399323,1.456024,-0.842300
7.499313,1.371796,-0.893570
7.599304,1.282440,-0.951950
7.699295,1.187241,-1.018829
7.799286,1.085358,-1.095825
7.899277,0.975784,-1.184860
7.999268,0.857300,-1.288101
8.099258,0.728500,-1.407974
8.199249,0.587708,-1.546890
8.299240,0.433029,-1.706909
8.399231,0.262344,-1.888885
8.499222,0.073471,-2.091003
8.599213,-0.135620,-2.306320
8.699203,-0.366241,-2.519135
8.799194,-0.618134,-2.700623
8.899185,-0.888184,-2.805679
8.999176,-1.168732,-2.776108
9.099167,-1.446320,-2.557678
9.199158,-1.702072,-2.133835
9.299149,-1.915451,-1.558884
9.399139,-2.071335,-0.951340
9.499130,-2.166473,-0.431229
9.599121,-2.209595,-0.055344
9.699112,-2.215134,0.187073
9.799103,-2.196442,0.335480
9.899094,-2.162903,0.426804
9.999084,-2.120239,0.486099
10.099075,-2.071640,0.528198
